,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
5,67491,2017/2018,Swansea,EPL,33(3),2859,7,,2,1,1.8,82.6,6.91,2.3,,1.8,0,0.5,1.1,6.91,0.4,2.1,2.4,0.2,2.9,3,23.2,0.1,0.5,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
6,67491,2016/2017,Swansea,EPL,9(5),865,1,,1,0,0.9,83.8,6.67,1,,1.3,0,0.4,0.8,6.67,0.4,1.5,1.6,0.4,2.4,2.2,17.1,0.4,0.3,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
7,67491,2015/2016,Aston Villa,EPL,27(3),2353,7,,6,1,2,80.9,6.88,1.3,,1.6,0,0.3,0.7,6.88,0.6,2.5,1.3,0.3,2.5,3.2,26.7,0.2,0.5,Jordan Ayew,,Crystal Palace,9,182cm,11-09-1991,Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",N/A,7.49,9.57,7.06,7.49,6.25,7.89,6.01,7.79,7.06
0,33866,2022/2023,Crystal Palace,EPL,27,2430,0,,1,0,0,67.5,6.76,0,,0,0,1,0,6.76,0,0,0.1,0,0,0,26,0,5.6,Vicente Guaita,,Crystal Palace,13,190cm,10-01-1987,Spain,Goalkeeper,6.54,6.53,8.01,6.37,7.69,6.91,7.09,6.19,6.57,6.5
1,33866,2021/2022,Crystal Palace,EPL,30,2656,0,,2,0,0,74.9,6.70,0,,0,0,0.7,0,6.70,0,0,0.1,0,0,0,26.6,0,4.5,Vicente Guaita,,Crystal Palace,13,190cm,10-01-1987,Spain,Goalkeeper,6.54,6.53,8.01,6.37,7.69,6.91,7.09,6.19,6.57,6.5
2,33866,2020/2021,Crystal Palace,EPL,37,3330,0,,2,0,0,49.6,6.46,0,,0,0,0.9,0,6.46,0,0,0.2,0,0,0,24.9,0,6.8,Vicente Guaita,,Crystal Palace,13,190cm,10-01-1987,Spain,Goalkeeper,6.54,6.53,8.01,6.37,7.69,6.91,7.09,6.19,6.57,6.5
3,33866,2019/2020,Crystal Palace,EPL,35,3150,0,,1,0,0,49.5,6.69,0,,0,0,1.1,0,6.69,0,0,0.1,0,0,0,25.3,0,6.3,Vicente Guaita,,Crystal Palace,13,190cm,10-01-1987,Spain,Goalkeeper,6.54,6.53,8.01,6.37,7.69,6.91,7.09,6.19,6.57,6.5
4,33866,2018/2019,Crystal Palace,EPL,20,1755,0,,2,0,0,42.5,6.74,0,,0.1,0,1,0,6.74,0,0,0.3,0,0,0,25,0,6.3,Vicente Guaita,,Crystal Palace,13,190cm,10-01-1987,Spain,Goalkeeper,6.54,6.53,8.01,6.37,7.69,6.91,7.09,6.19,6.57,6.5
0,374993,2022/2023,Crystal Palace,EPL,33,2719,0,,9,1,1,83.2,6.73,2.3,,1.1,0,1.4,0.7,6.73,0.8,0.5,0.4,0,0.6,0.8,36,0.1,1.5,Cheick Doucouré,,Crystal Palace,28,180cm,08-01-2000,Mali,Defensive Midfielder (C),6.48,N/A,6.89,6.94,7.07,6.86,7.17,6.85,6.89,6.33
0,105603,2022/2023,Crystal Palace,EPL,8,720,0,,1,0,0,69.1,6.73,0,,0.1,0,1.4,0,6.73,0,0,0,0,0,0.1,27.9,0,4.8,Sam Johnstone,,Crystal Palace,21,193cm,25-03-1993,England,Goalkeeper,6.8,7.27,7.92,7.26,8.25,5.62,5.84,6.34,6.46,6.17
1,105603,2020/2021,West Brom,EPL,37,3330,0,,1,0,0,43.2,6.74,0,,0,0,1,0,6.74,0,0,0.1,0,0,0,29.9,0,8.4,Sam Johnstone,,Crystal Palace,21,193cm,25-03-1993,England,Goalkeeper,6.8,7.27,7.92,7.26,8.25,5.62,5.84,6.34,6.46,6.17
0,374631,2022/2023,Crystal Palace,EPL,36,3240,1,,8,0,0.4,85.3,6.69,1.4,,0.6,0.6,3.6,0.4,6.69,0.3,0.4,1.1,0,0.2,0.4,58.3,0,4.1,Marc Guéhi,,Crystal Palace,6,182cm,13-07-2000,England,Defender (Centre),6.39,6.42,7.76,6.8,7.32,6.35,6.61,6.47,7.36,7.73
1,374631,2021/2022,Crystal Palace,EPL,36,3223,2,,4,0,0.5,87.4,6.77,1,,0.4,0.5,3.5,0,6.77,0.2,0.3,0.9,0,0.2,0.4,65.2,0,4.4,Marc Guéhi,,Crystal Palace,6,182cm,13-07-2000,England,Defender (Centre),6.39,6.42,7.76,6.8,7.32,6.35,6.61,6.47,7.36,7.73
0,91822,2022/2023,Crystal Palace,EPL,30(4),2546,3,,7,0,0.8,75.5,6.66,1.9,,1.5,0,1,0.6,6.66,0.5,0.9,1,0,1,1,25.1,0,0.8,Jeffrey Schlupp,,Crystal Palace,15,178cm,23-12-1992,Ghana,"Defender (Left), Midfielder (Centre, Left, Right)",6.27,6.27,7.15,6.37,8.84,7.27,6.27,6.14,7.93,6.08
1,91822,2021/2022,Crystal Palace,EPL,20(12),1846,4,,1,0,1,76.3,6.73,1.4,,0.8,0.1,1,0.8,6.73,0.6,1.1,0.7,0,1,1.3,20,0.1,0.6,Jeffrey Schlupp,,Crystal Palace,15,178cm,23-12-1992,Ghana,"Defender (Left), Midfielder (Centre, Left, Right)",6.27,6.27,7.15,6.37,8.84,7.27,6.27,6.14,7.93,6.08
2,91822,2020/2021,Crystal Palace,EPL,15(12),1426,2,,3,0,0.7,73.9,6.65,1.1,,0.9,0,0.4,0.6,6.65,0.7,1.1,0.6,0,1.5,1.2,14.8,0.2,0.4,Jeffrey Schlupp,,Crystal Palace,15,178cm,23-12-1992,Ghana,"Defender (Left), Midfielder (Centre, Left, Right)",6.27,6.27,7.15,6.37,8.84,7.27,6.27,6.14,7.93,6.08
3,91822,2019/2020,Crystal Palace,EPL,11(6),1035,3,,2,0,1.1,75.8,6.62,1.1,,1,0,0.6,0.6,6.62,0.4,0.8,0.7,0.1,0.9,1.5,18.5,0.1,0.5,Jeffrey Schlupp,,Crystal Palace,15,178cm,23-12-1992,Ghana,"Defender (Left), Midfielder (Centre, Left, Right)",6.27,6.27,7.15,6.37,8.84,7.27,6.27,6.14,7.93,6.08
4,91822,2018/2019,Crystal Palace,EPL,18(12),1667,4,,1,0,0.9,75.9,6.66,1.4,,0.8,0,0.7,0.6,6.66,0.5,0.7,0.5,0,0.8,1,21,0.1,0.5,Jeffrey Schlupp,,Crystal Palace,15,178cm,23-12-1992,Ghana,"Defender (Left), Midfielder (Centre, Left, Right)",6.27,6.27,7.15,6.37,8.84,7.27,6.27,6.14,7.93,6.08
