,player_id,season,team_x,tournament,apps,mins,goals,assists,yels,reds,shoots_per_game,pass_success,overall_ratings,tackles,intercepts,fouls,offsides_won,clear,drb,blocks,key_pass,drb_won,fouls_given,offsides_given,dispossessed,turnover,total_pass,crosses,long_pass,Name,team_y,Current Team,Shirt Number,Height,birth_date,Nationality,Positions,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
3,83459,2010/2011,Bolton,EPL,4(13),495,1,,0,0,1.2,63.9,6.50,0.9,,0.5,0,0.2,0.2,6.50,0.5,0.6,0.5,0.1,0.7,0.7,9.9,0.4,0.4,Rodrigo,,Leeds,19,182cm,06-03-1991,Spain,"Midfielder (Centre, Left, Right), Forward",5.97,7.01,6.19,6.27,6.56,6.91,5.91,6.97,6.66,6.65
0,44148,2022/2023,Leeds,EPL,15(2),1337,1,,4,0,0.6,78.5,6.66,2,,0.7,0.7,3.2,0.6,6.66,0.3,0.1,0.6,0,0.1,0.5,42.7,0.1,2.1,Liam Cooper,,Leeds,6,180cm,30-08-1991,Scotland,Defender (Centre),4.86,7.64,7.29,6.49,6.94,6.31,6.35,7.72,6.11,6.27
1,44148,2021/2022,Leeds,EPL,21,1815,0,,5,0,0.3,83.1,6.86,2,,0.9,0.2,3.4,0.5,6.86,0.2,0.1,0.4,0.1,0,0.4,56,0,2.8,Liam Cooper,,Leeds,6,180cm,30-08-1991,Scotland,Defender (Centre),4.86,7.64,7.29,6.49,6.94,6.31,6.35,7.72,6.11,6.27
2,44148,2020/2021,Leeds,EPL,25,2188,1,,4,1,0.6,85.6,7.06,2.7,,0.9,0.5,2.7,0.9,7.06,0,0.2,1.1,0,0,0.3,65.9,0,3.8,Liam Cooper,,Leeds,6,180cm,30-08-1991,Scotland,Defender (Centre),4.86,7.64,7.29,6.49,6.94,6.31,6.35,7.72,6.11,6.27
3,44148,2009/2010,Hull,EPL,1(1),124,0,,0,0,0,61.9,6.52,1.5,,0,0,11,0,6.52,0,0.5,0.5,0,0,0,10.5,0,1.5,Liam Cooper,,Leeds,6,180cm,30-08-1991,Scotland,Defender (Centre),4.86,7.64,7.29,6.49,6.94,6.31,6.35,7.72,6.11,6.27
0,301024,2022/2023,Leeds,EPL,13(2),1205,0,,2,0,0.5,70.9,6.64,1.7,,0.9,0.4,4.3,0.5,6.64,0.3,0,0.1,0.1,0.1,0.3,40.6,0.1,2.5,Maximilian Wöber,,Leeds,39,188cm,04-02-1998,Austria,"Defender (Centre, Left)",7.54,6.73,6.98,6.67,6.9,6.58,6.59,6.44,6.06,6.3
0,81681,2022/2023,Leeds,EPL,3,270,0,,1,0,0,42.5,6.64,0,,0,0,2.7,0.3,6.64,0,0,0,0,0,0,29,0,6,Joel Robles,,Leeds,22,195cm,17-06-1990,Spain,Goalkeeper,6.9,N/A,5.87,6.63,7.43,,,,,
1,81681,2016/2017,Everton,EPL,19(1),1736,0,,2,0,0,50.9,6.99,0.1,,0.1,0,0.8,0,6.99,0.1,0.1,0.2,0,0,0,28.5,0,8.1,Joel Robles,,Leeds,22,195cm,17-06-1990,Spain,Goalkeeper,6.9,N/A,5.87,6.63,7.43,,,,,
2,81681,2015/2016,Everton,EPL,13,1170,0,,1,0,0,46.1,6.66,0,,0,0,0.8,0.1,6.66,0,0.1,0.1,0,0,0,32.4,0,7.1,Joel Robles,,Leeds,22,195cm,17-06-1990,Spain,Goalkeeper,6.9,N/A,5.87,6.63,7.43,,,,,
3,81681,2014/2015,Everton,EPL,6(1),585,0,,1,0,0,49.7,6.69,0,,0,0,0.9,0,6.69,0,0,0,0,0,0,24.4,0,5.6,Joel Robles,,Leeds,22,195cm,17-06-1990,Spain,Goalkeeper,6.9,N/A,5.87,6.63,7.43,,,,,
4,81681,2013/2014,Everton,EPL,1(1),156,0,,0,0,0,52.5,5.72,0,,0,0,0.5,0,5.72,0,0,0,0,0,0,30.5,0,9,Joel Robles,,Leeds,22,195cm,17-06-1990,Spain,Goalkeeper,6.9,N/A,5.87,6.63,7.43,,,,,
5,81681,2012/2013,Wigan,EPL,9,810,0,,0,0,0,55.8,6.30,0,,0.1,0,1.3,0,6.30,0,0,0,0,0,0,25.7,0.1,7.4,Joel Robles,,Leeds,22,195cm,17-06-1990,Spain,Goalkeeper,6.9,N/A,5.87,6.63,7.43,,,,,
0,302812,2022/2023,Leeds,EPL,20(5),1872,3,,4,0,0.5,68,6.63,2.4,,0.8,0.2,2.2,1.3,6.63,0.3,0.3,0.2,0,0.2,0.2,31.4,0.2,1.1,Rasmus Kristensen,,Leeds,25,187cm,11-07-1997,Denmark,"Defender (Centre, Right), Midfielder (Right)",5.82,7.39,6,5.84,5.55,6.8,5.83,6.02,7.34,6.46
0,361879,2022/2023,Leeds,EPL,13(6),875,5,,1,1,1.5,81.5,6.58,1.1,,0.7,0.1,0.1,0.4,6.58,0.5,1,0.6,0.3,1.2,0.8,17.3,0.1,0.5,Luis Sinisterra,,Leeds,23,172cm,17-06-1999,Colombia,"Attacking Midfielder (Left, Right), Forward",N/A,6.5,6.22,6,6.4,8.59,6.23,7.02,6.41,6.91
0,82877,2022/2023,Leeds,EPL,21(7),1959,2,,3,0,0.8,68.5,6.56,2.3,,0.5,0.3,1.6,1.5,6.56,0.4,0.5,1.2,0,0.4,0.8,29.1,0.4,1.4,Luke Ayling,,Leeds,2,185cm,25-08-1991,England,"Defender (Centre, Right), Midfielder (Right)",6.12,7.36,5.38,6.84,6.17,6.51,6.51,6.51,7.61,5.88
1,82877,2021/2022,Leeds,EPL,26,2275,2,,4,1,0.7,77.4,6.49,2.8,,0.8,0.2,1.9,1.8,6.49,0.5,0.9,0.7,0.1,0.4,1.6,54.5,0.2,4.1,Luke Ayling,,Leeds,2,185cm,25-08-1991,England,"Defender (Centre, Right), Midfielder (Right)",6.12,7.36,5.38,6.84,6.17,6.51,6.51,6.51,7.61,5.88
2,82877,2020/2021,Leeds,EPL,38,3400,0,,7,0,0.6,79,6.94,2.8,,0.8,0.4,2,1,6.94,0.7,1.1,1.4,0.1,0.6,1.4,62.7,0.4,4.6,Luke Ayling,,Leeds,2,185cm,25-08-1991,England,"Defender (Centre, Right), Midfielder (Right)",6.12,7.36,5.38,6.84,6.17,6.51,6.51,6.51,7.61,5.88
0,276205,2022/2023,Leeds,EPL,35,3088,0,,7,0,0.4,77.5,6.52,1.4,,1,0.7,4.2,0.9,6.52,0.1,0,0.5,0,0,0.3,44.3,0,2.5,Robin Koch,,Leeds,5,192cm,17-07-1996,Germany,"Defender (Centre), Defensive Midfielder (C)",6.64,6.07,6.43,6.65,5.47,6.44,6.35,6.41,6.5,6.53
